PLEKHG4	TCF7L2	PLEKHA4	ANXA2	WDR72	GAL3ST1	SHE
TRMT61A	LARS2	SPATA45	HRH2	MAMDC2	SVOP	GDF7
CARS	DOCK4	SMYD2	KCND3	RALGAPA2	ITGB1BP2	ACE
PMM2	ACO2	TGM1	CFAP52	BTBD18	RXFP1	LIN28B
VPS25	HEPN1	LRRC17	SPATA12	PIK3C2A	COL25A1	MUC17
EIF2B1	FOXRED2	BIRC5	ABI3BP	CLTRN	ATCAY	KRTAP10-4
PLIN2	MED12L	TMEM37	AC012254.2	CASP3	SLC6A15	DDN
CHCHD1	TSPAN12	FAM111A	SLFN11	HS6ST2	SRL	PLA2G4E
DDX21	RNFT2	CCNE2	PDE8B	SLC16A5	DGAT2L6	GRASP
DUS3L	GPR171	CDH19	KREMEN1	APOLD1	CCDC38	STC2
LSG1	LBX2	RNASEH2B	TGFBR2	MAP3K7CL	RYR2	CASR
BORCS8	STARD6	HAS2	PPFIA1	SOX1	HORMAD1	IL23R
ARFIP2	OGDHL	ZNF700	KLKB1	MGAT4C	CDH18	CENPVL3
PIK3C2G	GPR82	P2RX5-TAX1BP3	FAM71F1	RNF212	PRKCH	BOLL
TRIM4	OSBPL6	PIK3R1	KLF8	PLCB4	SH3BP5	NANOS1
SESN2	MS4A7	RDM1	TMC1	HAPLN3	SOX11	PPP1R1B
HIC1	TRERF1	CCNA2	RALGDS	GABRA3	OPRD1	SSTR3
HGH1	HAGHL	PLGLB2	ARHGAP1	RARRES2	ELAVL2	VIPR1
TRIM56	JAKMIP3	MYO3B	IQCA1	SEMA3A	HIST2H4A	FRAT1
TRIM25	SMOX	PCDHB2	CSRP1	SESN3	RAD21L1	CACNA2D4
ALYREF	ABCB7	VIPR2	EIF4EBP3	PODN	TSPAN1	NR5A1
ARL6IP4	KATNAL2	C18orf54	RERGL	GPR146	TDRD12	SCN4A
E2F4	AMOT	TMEM131L	ZBTB16	CIB3	ZNF670-ZNF695	CRTAM
TXNRD1	STRIP2	DGKI	RGS10	LPAR2	SLC3A1	LZTS1
ZNF485	AC010422.3	HEPACAM2	LRRC2	KCNH5	FGF13	RAB3B
TINF2	FUT9	CTRC	USH1C	SALL2	AC067968.1	ULBP2
SF3A2	CSRNP1	CSMD1	FBXO32	PAG1	KIT	TMEM171
PSME2	ADD3	SELE	SECTM1	TEX53	SRD5A2	LRTM2
PNRC1	ZFP36	IMPG2	TENM4	NEDD4L	OR7D2	PCK1
SEPHS2	ATOH8	AURKA	RARG	GRIN2C	AC008763.2	KCNJ9
EPB41L4B	CPE	TSPAN12	MX1	TMEM98	CPLX3	TP73
